,RULE,HEAD,BODY,CONFIDENCE
0,"['G59_Up', 'G28_Down']",['G28_Down'],['G59_Up'],0.7183098591549296
1,"['G72_Up', 'G59_Up']",['G72_Up'],['G59_Up'],0.8378378378378378
2,"['G72_Up', 'G59_Up']",['G59_Up'],['G72_Up'],0.8157894736842105
3,"['G28_Down', 'G32_Down']",['G28_Down'],['G32_Down'],0.7042253521126761
4,"['G28_Down', 'G32_Down']",['G32_Down'],['G28_Down'],0.7352941176470588
5,"['G47_Up', 'G28_Down']",['G47_Up'],['G28_Down'],0.7727272727272727
6,"['G47_Up', 'G28_Down']",['G28_Down'],['G47_Up'],0.7183098591549296
7,"['G38_Down', 'G59_Up']",['G38_Down'],['G59_Up'],0.726027397260274
8,"['G41_Down', 'G28_Down']",['G41_Down'],['G28_Down'],0.796875
9,"['G41_Down', 'G28_Down']",['G28_Down'],['G41_Down'],0.7183098591549296
10,"['G72_Up', 'G97_Down']",['G97_Down'],['G72_Up'],0.8360655737704918
11,"['G88_Down', 'G87_Up']",['G88_Down'],['G87_Up'],0.7605633802816902
12,"['G88_Down', 'G87_Up']",['G87_Up'],['G88_Down'],0.8059701492537313
13,"['G10_Down', 'G28_Down']",['G10_Down'],['G28_Down'],0.7285714285714286
14,"['G10_Down', 'G28_Down']",['G28_Down'],['G10_Down'],0.7183098591549296
15,"['G59_Up', 'G88_Down']",['G59_Up'],['G88_Down'],0.7236842105263158
16,"['G59_Up', 'G88_Down']",['G88_Down'],['G59_Up'],0.7746478873239437
17,"['G72_Up', 'G1_Up']",['G72_Up'],['G1_Up'],0.7027027027027027
18,"['G72_Up', 'G1_Up']",['G1_Up'],['G72_Up'],0.7536231884057972
19,"['G67_Up', 'G38_Down']",['G67_Up'],['G38_Down'],0.8225806451612904
20,"['G10_Down', 'G1_Up']",['G10_Down'],['G1_Up'],0.7142857142857143
21,"['G10_Down', 'G1_Up']",['G1_Up'],['G10_Down'],0.7246376811594204
22,"['G72_Up', 'G82_Down']",['G72_Up'],['G82_Down'],0.7837837837837838
23,"['G72_Up', 'G82_Down']",['G82_Down'],['G72_Up'],0.8529411764705881
24,"['G52_Down', 'G28_Down']",['G52_Down'],['G28_Down'],0.8
25,"['G52_Down', 'G28_Down']",['G28_Down'],['G52_Down'],0.7323943661971831
26,"['G10_Down', 'G88_Down']",['G10_Down'],['G88_Down'],0.7428571428571429
27,"['G10_Down', 'G88_Down']",['G88_Down'],['G10_Down'],0.7323943661971831
28,"['G72_Up', 'G96_Down']",['G72_Up'],['G96_Down'],0.7972972972972973
29,"['G72_Up', 'G96_Down']",['G96_Down'],['G72_Up'],0.8309859154929577
30,"['G28_Down', 'G87_Up']",['G28_Down'],['G87_Up'],0.7323943661971831
31,"['G28_Down', 'G87_Up']",['G87_Up'],['G28_Down'],0.7761194029850746
32,"['G2_Down', 'G28_Down']",['G2_Down'],['G28_Down'],0.7575757575757576
33,"['G2_Down', 'G28_Down']",['G28_Down'],['G2_Down'],0.7042253521126761
34,"['G82_Down', 'G59_Up']",['G82_Down'],['G59_Up'],0.838235294117647
35,"['G82_Down', 'G59_Up']",['G59_Up'],['G82_Down'],0.7499999999999999
36,"['G10_Down', 'G59_Up']",['G10_Down'],['G59_Up'],0.7142857142857143
37,"['G10_Down', 'G70_Down']",['G10_Down'],['G70_Down'],0.7142857142857143
38,"['G10_Down', 'G70_Down']",['G70_Down'],['G10_Down'],0.7575757575757576
39,"['G10_Down', 'G38_Down']",['G10_Down'],['G38_Down'],0.7571428571428572
40,"['G10_Down', 'G38_Down']",['G38_Down'],['G10_Down'],0.726027397260274
41,"['G41_Down', 'G38_Down']",['G41_Down'],['G38_Down'],0.78125
42,"['G6_Up', 'G32_Down']",['G6_Up'],['G32_Down'],0.7575757575757576
43,"['G6_Up', 'G32_Down']",['G32_Down'],['G6_Up'],0.7352941176470588
44,"['G41_Down', 'G88_Down']",['G41_Down'],['G88_Down'],0.8125
45,"['G41_Down', 'G88_Down']",['G88_Down'],['G41_Down'],0.7323943661971831
46,"['G13_Down', 'G82_Down']",['G13_Down'],['G82_Down'],0.75
47,"['G13_Down', 'G82_Down']",['G82_Down'],['G13_Down'],0.75
48,"['G59_Up', 'G1_Up']",['G1_Up'],['G59_Up'],0.7681159420289856
49,"['G38_Down', 'G88_Down']",['G88_Down'],['G38_Down'],0.7042253521126761
50,"['G38_Down', 'G65_Down']",['G65_Down'],['G38_Down'],0.819672131147541
51,"['G97_Down', 'G82_Down']",['G97_Down'],['G82_Down'],0.8360655737704918
52,"['G97_Down', 'G82_Down']",['G82_Down'],['G97_Down'],0.75
53,"['G10_Down', 'G47_Up']",['G10_Down'],['G47_Up'],0.7285714285714286
54,"['G10_Down', 'G47_Up']",['G47_Up'],['G10_Down'],0.7727272727272727
55,"['G54_Up', 'G1_Up']",['G54_Up'],['G1_Up'],0.7462686567164178
56,"['G54_Up', 'G1_Up']",['G1_Up'],['G54_Up'],0.7246376811594204
57,"['G38_Down', 'G6_Up']",['G6_Up'],['G38_Down'],0.7575757575757576
58,"['G38_Down', 'G70_Down']",['G38_Down'],['G70_Down'],0.7397260273972603
59,"['G38_Down', 'G70_Down']",['G70_Down'],['G38_Down'],0.8181818181818182
60,"['G13_Down', 'G28_Down']",['G13_Down'],['G28_Down'],0.7352941176470588
61,"['G13_Down', 'G28_Down']",['G28_Down'],['G13_Down'],0.7042253521126761
62,"['G59_Up', 'G87_Up']",['G87_Up'],['G59_Up'],0.7611940298507462
